tweetId,isRetweet,time,text,replies,retweets,likes,entries
1202401954644865024,False,2019-12-05 09:39:00,"The world is laughing at President Trump. They see him for what he really is: dangerously incompetent and incapable of world leadership.

We cannot give him four more years as commander in chief pic.twitter.com/IR8K2k54YQ",39995,71122,261692,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'EK-_7cQWkAIiSxx'}]}"
1205702327979642881,False,2019-12-14 12:13:30,Donald Trump doesn’t know who we are as a country. We’re a nation of immigrants — and our diversity has always been our biggest strength pic.twitter.com/ziFAlokFyc,768,1386,6819,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'BgSu05sVlK0SIbOZ'}]}"
1205600027650994178,False,2019-12-14 05:27:00,"There is enormous opportunity once we get Donald Trump out of the White House. My administration will tackle the climate emergency head-on and create 10 million jobs to power the clean energy economy of the future.

http://JoeBiden.com/Climate pic.twitter.com/bpE37M46CW",1082,993,4343,"{'hashtags': [], 'urls': ['http://JoeBiden.com/Climate'], 'photos': [], 'videos': [{'id': 'H1yODhyYzGvXnATM'}]}"
1205571256575287296,False,2019-12-14 03:32:40,I won't be crossing a picket line. We’ve got to stand together with @UniteHere11 for affordable health care and fair wages. A job is about more than just a paycheck. It's about dignity https://twitter.com/ThisAlexTin/status/1205554284504338432 …,495,1005,4785,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205569268647112704,False,2019-12-14 03:24:46,"The right to vote is the most sacred American right there is — and we can protect it by restoring the Voting Rights Act, stopping foreign interference in our elections, fighting back against gerrymandering and calling for automatic voter registration. #LetUsVoteF https://twitter.com/FlaDems/status/1205569064766246912 …",347,999,3467,"{'hashtags': ['#LetUsVoteFL', '#LetUsVoteFL', '#Flapol'], 'urls': [], 'photos': [], 'videos': []}"
1205539587520638977,False,2019-12-14 01:26:50,"Tom Joyner is like no other. @TJMShow and his presence in the community were legendary, and his work on HBCUs will make a difference for generations. Tom made millions smile and touched many lives — on and off-air. ""The Fly Jock"" is an undisputed legend https://twitter.com/CBSThisMorning/status/1205483877319553031 …",49,258,946,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205529563448664065,False,2019-12-14 00:47:00,"There is no time to waste when it comes to addressing the climate emergency. On day one, I’ll take bold action to unleash the power of renewable energy and put us on course to become a 100% clean energy economy with net-zero emissions by 2050. 

http://JoeBiden.com/Climate pic.twitter.com/EEYmGGy51M",398,548,2363,"{'hashtags': [], 'urls': ['http://JoeBiden.com/Climate'], 'photos': [], 'videos': [{'id': 'ELraWQmWwAI5ZL2'}]}"
1205518218368040961,False,2019-12-14 00:01:55,"I applaud the Senate's landmark legislation formally recognizing the Armenian Genocide. If we don't fully acknowledge the past, “never again” loses its meaning. The facts must be as clear and as powerful for future generations as for those whose memories are seared by tragedy https://twitter.com/USATODAY/status/1205204924700725249 …",177,404,2221,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205272369024995328,False,2019-12-13 07:45:00,President Trump continues to deny the scientific evidence in front of his own eyes — and we’re all paying the price. We must get him out of the White House and treat climate change like the existential threat it is pic.twitter.com/X1jaCtz1c3,1405,2744,10598,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ELn7dlhWoAA1I6W'}]}"
1205248712861085698,False,2019-12-13 06:11:00,"We must restore our nation's commitment to humane and effective immigration policies. As president, I'll provide a fair and just system that helps to grow and enhance our economy, and secure our  cherished values https://joebiden.com/immigration/ ",391,416,1670,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205229586855821312,False,2019-12-13 04:55:00,"The one truly sacred obligation our government has is to properly train and equip the men and women who defend our nation at war and to care for them and their families—while they’re deployed, and after they come home. We need a president who will honor that obligation pic.twitter.com/sWnsYRr4k1",383,977,4253,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'WBJYgCH_pabXjkMA'}]}"
1205201622483243009,False,2019-12-13 03:03:53,"What kind of president bullies a teenager? @realDonaldTrump, you could learn a few things from Greta on what it means to be a leader https://twitter.com/realDonaldTrump/status/1205100602025545730 …",7790,17900,113941,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205195562229927936,False,2019-12-13 02:39:48,"Give it a rest, man https://twitter.com/spettypi/status/1205184175420166145 …",1653,3943,30469,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205163547023556609,False,2019-12-13 00:32:35,"Trump’s reckless decision to withdraw from the Paris Agreement has put our ability to confront the climate crisis in jeopardy. It proves he doesn’t have any idea of what we’re up against, despite indisputable evidence. And it again confirms that he's incapable of real leadership.",208,467,2415,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205162897577373696,False,2019-12-13 00:30:00,I’ll rejoin the Paris Agreement on day one—and rally the world to push our progress further and faster. It’s time to put an end to Trump’s shameful abdication of leadership. The future of our country and the world our children and grandchildren inherit hangs in the balance.,760,1892,9457,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1205144526345527296,False,2019-12-12 23:17:00,The first and most important part of my climate change plan: beating Donald Trump pic.twitter.com/juiL35urWH,764,1068,4680,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ELmHL1zW4AAFcro'}]}"
1204954021015867392,False,2019-12-12 10:40:00,We are so much better than who Donald Trump thinks we are — we cannot let him define us as a nation.,1389,3452,23025,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204938921659916289,False,2019-12-12 09:40:00,"We must take urgent action to end Donald Trump’s draconian immigration policies. In my first 100 days, we will:

- End his inhumane asylum policies
- End wasteful efforts to build a wall
- Reverse “Muslim bans”
- Reverse his “public charge” rule
- Protect Dreamers & TPS holders",2213,2460,11380,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204925080381382658,False,2019-12-12 08:45:00,"Trump has bullied our neighbors in Central America and abandoned U.S. leadership in the region.

As president, I'll renew a robust commitment to U.S. leadership and pursue a comprehensive strategy of support for Central America https://joebiden.com/centralamerica/ ",357,377,1561,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204916272330399744,False,2019-12-12 08:10:00,You shouldn’t be forced to give up the health insurance and benefits that you fought for. Period pic.twitter.com/sqNVioTmDM,1880,576,2977,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ELi1tcqWwAA0U-F'}]}"
1204893670786453506,False,2019-12-12 06:40:11,Our gun laws make these hate-filled attacks even more deadly. We must pass common-sense reforms to keep guns out of dangerous hands and work to end our gun violence epidemic.,112,154,607,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204893413008650241,False,2019-12-12 06:39:10,.@DrBiden and I are keeping those affected by this hate-filled attack in our hearts. We cannot be silent in the face of anti-Semitism. We are in a battle for the soul of this nation — and it's up to all of us to stand up to bigotry and to give hate no safe harbor https://twitter.com/nytimes/status/1204770148932104192 …,160,428,1931,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204887331716714496,False,2019-12-12 06:15:00,Being a nation of immigrants has always been one of our greatest strengths. Our diversity makes us stronger. Donald Trump doesn't get that — we need a president who does pic.twitter.com/cQSjBrRF1o,992,2584,11144,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ELicpJZXkAAw0ln'}]}"
1204835741554987008,False,2019-12-12 02:50:00,"Immigration has always made us stronger—it’s essential to who we are. But Donald Trump has waged an assault on our values as a nation of immigrants.

As president, I'll undo Trump’s damage and put our values back at the heart of our immigration system https://joebiden.com/immigration/ ",469,408,1660,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204830923579113472,False,2019-12-12 02:30:51,".@GretaThunberg’s passion and courage have inspired millions and sparked a youth-led movement for change in every corner of the globe. This honor is well-deserved and serves as a reminder of the urgent, drastic action we must take to address the climate crisis https://twitter.com/TIME/status/1204743717132914688 …",584,1742,10238,"{'hashtags': ['#TIMEPOY'], 'urls': [], 'photos': [], 'videos': []}"
1204797992907096065,False,2019-12-12 00:20:00,Folks are coming together across the country to host watch parties for next week's Democratic debate! Head to https://joe.link/35caMtB  to sign up to host one in your community.,272,171,693,"{'hashtags': [], 'urls': ['https://joe.link/35caMtB'], 'photos': [], 'videos': []}"
1204585513912602626,False,2019-12-11 10:15:41,We can't afford four more years of a president who denies the scientific evidence in front of his eyes. We must get Trump out of the White House and treat climate change like the existential threat it is https://twitter.com/nytimes/status/1204485958005075970 …,930,1855,8849,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204570242204090369,False,2019-12-11 09:15:00,"President Trump is leading the most corrupt administration in modern American history. At every turn, he has used the power of the presidency to benefit his own personal interests. It has got to end.

I'll ensure our government works for all Americans — not just the powerful.",8221,6730,39264,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204558917436506113,False,2019-12-11 08:30:00,My team and I are going to pick one lucky person to come out and join me for dinner (and ice cream) on the campaign trail! Time is running out to enter the contest — chip in today for your chance to win: https://joe.link/38lgWtj pic.twitter.com/a0XhAHT22l,379,159,729,"{'hashtags': [], 'urls': ['https://joe.link/38lgWtj'], 'photos': [], 'videos': [{'id': 'ELduX0SWwAAwSyc'}]}"
1204543818009399297,False,2019-12-11 07:30:00,"With just two months until the Iowa Caucus, we embarked on an eight-day, 18 county #NoMalarkey barnstorm across the state. Folks are fired up to defeat Donald Trump and take back this country pic.twitter.com/E2384zqaTa",536,566,2432,"{'hashtags': ['#NoMalarkey'], 'urls': [], 'photos': [], 'videos': [{'id': 'ELdj2uYWsAIicR0'}]}"
1204498520683601920,False,2019-12-11 04:30:00,Couldn’t have said it better than Chief Acevedo: “You’re either here for women and children and our daughters and our sisters and our aunts or you’re here for the NRA. https://m.chron.com/news/houston-texas/houston/article/Acevedo-blames-legislators-after-Houston-sergeant-14892837.php?utm_campaign=CMS%20Sharing%20Tools%20(Mobile)&utm_source=share-by-email&utm_medium=email …,502,2351,9732,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204480903562448902,False,2019-12-11 03:20:00,"We shouldn’t have to live in fear of President Trump’s erratic, impulsive decisions pic.twitter.com/83szCP1ZvL",879,1233,5884,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ELcqT9BXUAMTo_w'}]}"
1204449681721450496,False,2019-12-11 01:15:56,"Yesterday, on the eve of #HumanRightsDay, Trump again coddled a dictator—blocking a UN meeting on North Korean human rights, betraying our values. Trump continues to side with the brutal Kim Jong Un regime at the expense of American leadership, our allies, and our security https://twitter.com/ForeignPolicy/status/1204392951817932805 …",224,499,1642,"{'hashtags': ['#HumanRightsDay'], 'urls': [], 'photos': [], 'videos': []}"
1204436863634640896,False,2019-12-11 00:25:00,.@DrBiden and I join communities around the world in marking #HumanRightsDay. This day is a time of reflection and recommitment to the notion that all human beings are equal in dignity and rights https://medium.com/@JoeBiden/statement-from-vice-president-joe-biden-on-human-rights-day-e742d20231fd …,131,813,1482,"{'hashtags': ['#HumanRightsDay'], 'urls': [], 'photos': [], 'videos': []}"
1204431075696623620,False,2019-12-11 00:02:00,"It’s been just two months since John Deere laid off 160 workers in the Quad Cities in part because of President Trump’s reckless trade war—and now, a second round of layoffs is expected in the same community.

Trump’s failed policies are destroying American jobs.",969,2923,9691,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204176397058609152,False,2019-12-10 07:10:00,"36,878 — that’s how many Americans have died from gun violence so far this year. We cannot go on like this any longer. We must take action to end our gun violence epidemic.",1455,2288,10866,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204156767611039744,True,2019-12-10 05:52:00,Our team in Iowa is working hard every day to elect @JoeBiden — and they need your help! Chip in what you can to help our team purchase what they need to keep getting out there and talking to voters https://joe.link/2P3JnnY pic.twitter.com/DqBduAEqhk,123,93,276,"{'hashtags': [], 'urls': ['https://joe.link/2P3JnnY'], 'photos': [], 'videos': [{'id': 'ELXmImpWoAAa9To'}]}"
1204152489689460736,False,2019-12-10 05:35:00,"Donald Trump is erratic, unstable, and dangerously incompetent. Every day that he directs our national security is a dangerous day for the United States pic.twitter.com/aGUxe4ItmQ",1915,4702,19443,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'EJNV-fwXkAA6ue8'}]}"
1204121032778342400,False,2019-12-10 03:30:00,We can make Donald Trump a one-term president and take back this country — but we cannot do it without your help. Join our team today and let’s get to work http://JoeBiden.com/Join ,500,443,2366,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204094608201994240,False,2019-12-10 01:45:00,"No matter where you start in life, there should be no limit to what you can achieve. We’ve got to rebuild the middle class and this time, make sure everyone comes along.",864,926,5583,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1204060635287433216,False,2019-12-09 23:30:00,"Educators deserve a partner in the White House. As president, I will support our educators by giving them the pay and dignity they deserve. Learn more about my plan for educators, students, and our future http://joebiden.com/education ",257,238,1153,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203845969772777475,False,2019-12-09 09:17:00,"Prescription drug companies are profiteering off the pocketbooks of sick individuals — it’s wrong. As president, I will stand up to the abuse of power by drug corporations and put an end to runaway drug prices. Read my full plan here http://joebiden.com/healthcare ",515,378,1608,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203833638397198337,False,2019-12-09 08:28:00,"It is our moral responsibility to end gender-based violence. And as president, I will lead the global effort to end sexual violence. #16Day https://joebiden.com/vawa/ ",434,336,1461,"{'hashtags': ['#16Days'], 'urls': [], 'photos': [], 'videos': []}"
1203823320564502528,False,2019-12-09 07:47:00,"We cannot go on denying the devastating effects of climate change — we must choose science over fiction. As president, I will address this grave threat and lead the world in addressing the climate emergency https://www.bbc.com/news/science-environment-50690995 …",607,1114,5036,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202989494976360448,True,2019-12-07 00:33:40,"Small businesses are the backbone of our nation’s economy.  That’s why supporting entrepreneurs is so vital to our campaign.

Our latest stop was Food for the Soul in Abbeville where @JoeBiden officially filed to be on the SC primary ballot pic.twitter.com/SjzupEUqZZ",55,112,449,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELHgfjfXkAAMWpQ.jpg'], 'videos': []}"
1203777770309898240,False,2019-12-09 04:46:00,"It is within our grasp to end our gun violence epidemic. As president, I will hold gun manufacturers accountable, get weapons of war off our streets, and keep guns out of dangerous hands. Read my full plan http://joebiden.com/gunsafety ",1384,773,3882,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203768208584347648,False,2019-12-09 04:08:00,".@DrBiden and I send our deepest condolences to the family, friends, and colleagues of former Iowa congressman and statesman, Berkley Bedell. Congressman Bedell’s legacy will be remembered as the epitome of public service. Iowa is a better place because he served there.",51,190,1163,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203699359914872832,False,2019-12-08 23:34:25,"I’m glad the Senate passed the #FUTUREAct to permanently fund historically black colleges and universities, and other minority-serving institutions. I’ll invest $70 billion in these institutions to improve affordability, build new facilities, and support student success https://twitter.com/CNN/status/1202790277792047104 …",386,401,2008,"{'hashtags': ['#FUTUREAct'], 'urls': [], 'photos': [], 'videos': []}"
1203467978991448064,False,2019-12-08 08:15:00,We cannot stand by and let Donald Trump destroy the character of our nation. We must make him a one-term president.,5743,7034,50413,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203460429604777984,False,2019-12-08 07:45:00,"Today, we remember Pearl Harbor and those we lost — like Seaman Roy Powers and Seaman Jimmy Palides who we honored today in Oelwein, Iowa.

It’s an opportunity to reflect on all our veterans’ sacrifices, and recommit to ensuring they receive the care they have earned pic.twitter.com/hmeijbsWaF",188,455,2317,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELOKSKLWsAAslBh.jpg'], 'videos': []}"
1203425448803225600,False,2019-12-08 05:26:00,"Marge turns 100 soon, so I asked her about her secret to longevity pic.twitter.com/j8gDx03e5h",419,518,3033,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'nm13Qs2JF0GlaJqM'}]}"
1203401289641521152,False,2019-12-08 03:50:00,"We have a Secretary of Education who doesn't value our public schools, an EPA Administrator who doesn’t believe that climate change is an existential threat, and an Attorney General who puts the selfish interests of the President ahead of the American people. We deserve better.",1783,4892,22310,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203396004785065985,False,2019-12-08 03:29:00,"It's the final day of the #NoMalarkey barnstorm, but the enthusiasm we’ve seen could make a big difference in the next few weeks before the Iowa Caucus.

We need your help to keep this momentum going—contribute today to keep fueling our efforts: https://joe.link/2rqnmqb pic.twitter.com/6HJra0VG0X",678,453,2201,"{'hashtags': ['#NoMalarkey'], 'urls': ['https://joe.link/2rqnmqb'], 'photos': [], 'videos': [{'id': 'ELNQrqNX0AY-twD'}]}"
1203347938149163009,False,2019-12-08 00:18:00,"House Democrats have passed legislation to: 

- Enact universal background checks
- Reauthorize VAWA

It’s time for @senatemajldr McConnell to do his job and bring these bills up for a vote https://www.vox.com/2019/11/29/20977735/how-many-bills-passed-house-democrats-trump …",589,2102,7423,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203101564723810304,False,2019-12-07 07:59:00,Couldn't have said it better myself! I’m honored to have @JohnKerry join me for the #NoMalarkey barnstorm pic.twitter.com/qMLSGkG91x,989,717,3487,"{'hashtags': ['#NoMalarkey'], 'urls': [], 'photos': [], 'videos': [{'id': '6kpGkTSfazncL9Kz'}]}"
1203095560988823552,False,2019-12-07 07:35:08,We deserve to know what Donald Trump is hiding https://twitter.com/CNN/status/1203056781733306370 …,2244,5871,26733,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203088557927288832,False,2019-12-07 07:07:19,"Today, House Democrats led the way by passing a bill to restore the Voting Rights Act. All but one Republican voted against it. Shameful. Strengthening our democracy should not be a partisan issue. #HR4 #RestoreTheVote",127,359,1576,"{'hashtags': ['#HR4', '#RestoreTheVote'], 'urls': [], 'photos': [], 'videos': []}"
1203088557075828736,False,2019-12-07 07:07:18,"The Voting Rights Act used to be one of our best tools to fight state laws designed to suppress the vote — particularly the votes of people of color. Then it was gutted by the Supreme Court, and Congressional Republicans have refused a legislative fix.",183,646,2442,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1203075643996549120,False,2019-12-07 06:16:00,"I’m so proud and so humbled to have @JohnKerry's support. He is an American hero, statesman, visionary, and friend. His endorsement and partnership mean the world to me pic.twitter.com/RShmQw3F2n",833,1483,8732,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ELIqfE7XkAACrgU'}]}"
1203041670285033472,False,2019-12-07 04:01:00,I'm proud to stand with @SEIU1984 and NH’s state employees as they fight for fair wages — Governor Sununu cannot shortchange workers with a contract that doesn't fairly compensate them. #UnionsForAll #NHPolitics,203,241,878,"{'hashtags': ['#UnionsForAll', '#NHPolitics'], 'urls': [], 'photos': [], 'videos': []}"
1203025060539355137,False,2019-12-07 02:55:00,.@DrBiden and I send our prayers to those affected by today's tragic shooting at Naval Air Station Pensacola. We're grateful for the brave first responders who rushed to the scene and selflessly risked their lives to save others.,142,546,3249,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202972212384288768,False,2019-12-06 23:25:00,"A job is about a lot more than a paycheck. It’s about dignity. It’s about being able to look your kid in the eye and say everything is going to be okay—and mean it. Too many people today can’t do that.

We have to rebuild an inclusive middle class and restore the dignity of work.",12191,3179,17330,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202776170162507778,False,2019-12-06 10:26:00,This administration is morally bankrupt https://twitter.com/CBSNews/status/1202336691266211841 …,2267,6129,31752,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202761574332739584,False,2019-12-06 09:28:00,We need a president who is respected on the world stage pic.twitter.com/Hqv6T06Mtv,12602,3428,25492,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ELEQwE1XsAAFahb.jpg'], 'videos': []}"
1202729362283470848,False,2019-12-06 07:20:00,"Congratulations @AFLCIO on 64 years of empowering workers to bargain for what they deserve. The 40-hour workweek, paid leave, health care protections, a voice in your workplace safety — it’s all because of unions. It’s time we recognize that.",322,487,2159,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202718037868048385,False,2019-12-06 06:35:00,"Nuestro presidente debería ser capaz de cumplir con una prueba simple: entender que los puertorriqueños son ciudadanos americanos y que tienen derecho a, y merecen, el mismo apoyo del gobierno de los Estados Unidos que todos los demás ciudadanos https://www.elnuevodia.com/opinion/columnas/derrotaratrumpreconstruirapuertoricorestaurarelalmadenuestranacion-columna-2533174/ …",261,187,707,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202716779962937346,False,2019-12-06 06:30:00,"Our president should be able to meet a simple test: understanding that Puerto Ricans are American citizens, and that they are entitled to—and deserve—the same support from the United States government as every citizen.

Donald Trump has failed that test https://www.orlandosentinel.com/opinion/guest-commentary/os-op-joe-biden-rebuild-puerto-rico-20191205-7qxc6pwz6nbzja2hngsinepire-story.html …",946,2103,9142,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202707216249344001,False,2019-12-06 05:52:00,DREAMers are Americans — and it’s time we make it official. We must keep our promise to them and provide a pathway to citizenship pic.twitter.com/3yFphHXXpi,819,1228,5642,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ELDfRZYWwAAoj9p'}]}"
1202683919310741504,False,2019-12-06 04:19:25,"President Trump continues to embarrass us on the world stage. We need a president who is ready on day one to repair our global reputation and restore American leadership abroad.

But I can't get to the White House without your help, chip in today https://secure.actblue.com/donate/biden2020_fr_q42019-social7?refcode=social-tw-20191205worldstage&utm_medium=social&utm_source=tw&utm_campaign=20191205worldstage …",1945,1068,6053,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202664182950195200,False,2019-12-06 03:01:00,"As president, I’ll make sure giant corporations and the super-wealthy pay their fair share in taxes — and then invest that money in growing a stronger, more inclusive middle class https://www.bloomberg.com/news/articles/2019-12-04/biden-to-target-tax-avoiding-companies-with-minimum-federal-levy …",960,905,4147,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202613599610515456,False,2019-12-05 23:40:00,"President Trump is destroying American leadership and credibility abroad. As president, I'll rebuild a modern, agile U.S. Department of State—investing in and re-empowering the finest diplomatic corps in the world https://www.gq.com/story/trump-is-waging-war-on-american-diplomats …",823,1699,7777,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202418564185108481,False,2019-12-05 10:45:00,My administration will spark the second great railroad revolution to propel our nation's infrastructure into the future and help solve the climate emergency pic.twitter.com/0LEAtfweyv,1377,1386,7916,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'ncFKsRlxpBeYKuRh'}]}"
1202321676337324032,False,2019-12-05 04:20:00,"Take a look inside the #NoMalarkey bus with my favorite road trip partner, @DrBiden pic.twitter.com/P6l93iqigR",634,511,2913,"{'hashtags': ['#NoMalarkey'], 'urls': [], 'photos': [], 'videos': [{'id': 'EK-ARWCX0AAFG_A'}]}"
1202302550227275787,False,2019-12-05 03:04:00,"We are in a battle for the soul of America. It’s time we come together, remember who we are, and take this country back https://globegazette.com/news/local/iowa-caucus-joe-biden-offers-plan-to-save-the-soul/article_6c00f161-2da4-58fc-989f-82fcd5d1f496.html …",390,535,2770,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202275119927717888,False,2019-12-05 01:15:00,"Nearly 1 in 3 women worldwide are subjected to physical violence, rape or stalking by a partner at some point in their lives. As president, I’ll tackle this epidemic head-on, and work to end violence against women. #16Day http://JoeBiden.com/VAWA ",472,394,1729,"{'hashtags': ['#16Days'], 'urls': [], 'photos': [], 'videos': []}"
1202054917994766336,False,2019-12-04 10:40:00,"The Trump Administration's ""Infrastructure Weeks"" have been a bunch of malarkey. As president, I'll make a transformational investment in our nation's infrastructure and future.

http://JoeBiden.com/Infrastructure pic.twitter.com/pPd81hckon",402,257,1044,"{'hashtags': [], 'urls': ['http://JoeBiden.com/Infrastructure'], 'photos': ['https://pbs.twimg.com/media/EK6NXQZWkAAkWea.png'], 'videos': []}"
1202037302265925634,False,2019-12-04 09:30:00,I applaud Monday's sentences against seven of the men found guilty of killing Honduran environmental leader Berta Caceres. Environmentalists and human rights activists should not have to fear for their lives. #JusticeForBert https://www.theguardian.com/world/2019/dec/02/berta-caceres-murder-sentencing …,79,200,893,"{'hashtags': ['#JusticeForBerta'], 'urls': [], 'photos': [], 'videos': []}"
1202028242187771904,False,2019-12-04 08:54:00,"Every worker deserves fair wages, good benefits, and protections from sexual harassment. I’m proud to stand in solidarity with @hgsuuaw. I urge the university to negotiate in good faith to secure a fair contract with good health care benefits.",202,303,1663,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1202007103553933317,False,2019-12-04 07:30:00,"I’m running for president to restore the soul of this nation, rebuild a more inclusive middle class, and unite all Americans.

If you’re with me, let me know by chipping in to our campaign today https://secure.actblue.com/donate/biden2020_fr_q42019-social7?refcode=social-tw-20191203whyrunning&utm_medium=social&utm_source=tw&utm_campaign=20191203whyrunning …",584,528,3111,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1201992004764200962,False,2019-12-04 06:30:00,Kamala Harris is an incredible talent with unlimited potential. Her career has been defined by taking on those who abuse power and seeking equity and justice for all people. Her intellect and insight will continue to be needed by the Democratic Party and the country.,2895,6443,60124,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1201973129515556864,False,2019-12-04 05:15:00,"Everyone deserves the peace of mind that comes with quality, affordable health care. My administration will give people the choice between their existing plan and a Medicare-like public option. It’s the most effective way to achieve universal coverage.",765,512,3134,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1201681960533286912,False,2019-12-03 09:58:00,"In the United States of America, we leave nobody behind — no matter your race, gender, religion, sexual orientation, or disability. We need a president who understands that pic.twitter.com/2a4Y74lX37",773,463,2370,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': [{'id': 'EK041OXWkAE44mb'}]}"
1201659815476563971,False,2019-12-03 08:30:00,"If we don’t take urgent action to address the climate emergency, our planet may never recover. We must get the climate change denier out of the White House and tackle this crisis head-on https://www.nbcnews.com/news/world/u-n-chief-warns-point-no-return-climate-change-n1093956 …",755,779,3549,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1201644715583688704,False,2019-12-03 07:30:00,"My team and I are going to pick someone to fly out to come meet me on the trail and share a meal, all expenses on us. And yes, we can have ice cream for dessert!

Time is running out to enter — chip in for your chance to win: https://joe.link/2DEEXxb pic.twitter.com/oQkCKI0fPf",929,227,928,"{'hashtags': [], 'urls': ['https://joe.link/2DEEXxb'], 'photos': [], 'videos': [{'id': 'EK0F01mWoAUHbBu'}]}"
1201629616072544256,False,2019-12-03 06:30:00,We must get these weapons of war out of our communities. #NoMalarke pic.twitter.com/zuEKa4ENFV,318,238,1016,"{'hashtags': ['#NoMalarkey'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EKzsBnNXkAM3eMI.png'], 'videos': []}"
1201614517270126592,False,2019-12-03 05:30:00,"I’ve always believed we are strongest when we act as one America. If we come together and unite this country, there is nothing that we cannot accomplish.

If you agree, join our team today http://JoeBiden.com/Join ",328,250,1178,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
1201608225017217030,False,2019-12-03 05:05:00,".@GovernorBullock and I have always agreed on a central tenet of his campaign: every American deserves a fair shot. He has served Montana well and will continue to do so with fairness and strength. Thank you, Governor.",104,230,1454,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}"
